race_id,driver_id,lap,position,time,milliseconds,ingestion_date
67,9,33,3,1:24.019,84019,2024-09-05T09:16:11.108Z
67,9,34,3,1:23.928,83928,2024-09-05T09:16:11.108Z
67,9,35,3,1:23.753,83753,2024-09-05T09:16:11.108Z
67,9,36,3,1:23.875,83875,2024-09-05T09:16:11.108Z
67,9,37,3,1:23.863,83863,2024-09-05T09:16:11.108Z
67,9,38,3,1:23.928,83928,2024-09-05T09:16:11.108Z
67,9,39,3,1:24.513,84513,2024-09-05T09:16:11.108Z
67,9,40,3,1:24.085,84085,2024-09-05T09:16:11.108Z
67,9,41,3,1:27.287,87287,2024-09-05T09:16:11.108Z
67,9,42,4,1:45.959,105959,2024-09-05T09:16:11.108Z
67,9,43,4,1:23.631,83631,2024-09-05T09:16:11.108Z
67,9,44,3,1:24.635,84635,2024-09-05T09:16:11.108Z
67,9,45,3,1:24.358,84358,2024-09-05T09:16:11.108Z
67,9,46,3,1:25.198,85198,2024-09-05T09:16:11.108Z
67,9,47,3,1:24.530,84530,2024-09-05T09:16:11.108Z
67,9,48,3,1:24.488,84488,2024-09-05T09:16:11.108Z
67,9,49,3,1:24.489,84489,2024-09-05T09:16:11.108Z
67,9,50,3,1:24.465,84465,2024-09-05T09:16:11.108Z
67,9,51,3,1:24.627,84627,2024-09-05T09:16:11.108Z
67,9,52,3,1:24.860,84860,2024-09-05T09:16:11.108Z
67,9,53,3,1:24.839,84839,2024-09-05T09:16:11.108Z
67,33,1,20,1:38.338,98338,2024-09-05T09:16:11.108Z
67,33,2,19,1:29.007,89007,2024-09-05T09:16:11.108Z
67,33,3,19,1:27.968,87968,2024-09-05T09:16:11.108Z
67,33,4,20,1:27.853,87853,2024-09-05T09:16:11.108Z
67,33,5,20,1:26.851,86851,2024-09-05T09:16:11.108Z
67,33,6,20,1:26.937,86937,2024-09-05T09:16:11.108Z
67,33,7,20,1:26.989,86989,2024-09-05T09:16:11.108Z
67,33,8,20,1:26.122,86122,2024-09-05T09:16:11.108Z
67,33,9,19,1:27.354,87354,2024-09-05T09:16:11.108Z
