circuit_id,name,location,country,latitude,longitude,altitude,ingestion_data
59,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,2024-09-05T05:58:04.09Z
60,Riverside International Raceway,California,USA,33.937,-117.273,470,2024-09-05T05:58:04.09Z
61,AVUS,Berlin,Germany,52.4806,13.2514,53,2024-09-05T05:58:04.09Z
62,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,2024-09-05T05:58:04.09Z
63,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,2024-09-05T05:58:04.09Z
64,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,2024-09-05T05:58:04.09Z
65,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,2024-09-05T05:58:04.09Z
66,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,2024-09-05T05:58:04.09Z
67,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,2024-09-05T05:58:04.09Z
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,2024-09-05T05:58:04.09Z
69,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,2024-09-05T05:58:04.09Z
70,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,678,2024-09-05T05:58:04.09Z
71,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,2024-09-05T05:58:04.09Z
72,Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111,4,2024-09-05T05:58:04.09Z
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,2024-09-05T05:58:04.09Z
74,Hanoi Street Circuit,Hanoi,Vietnam,21.0166,105.766,9,2024-09-05T05:58:04.09Z
75,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,2024-09-05T05:58:04.09Z
76,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,2024-09-05T05:58:04.09Z
77,Jeddah Street Circuit,Jeddah,Saudi Arabia,21.5433,39.1728,15,2024-09-05T05:58:04.09Z
